email,name,profile_score,ratings_score,search_score
user7861@yahoo.com,"Christa Z.",1.54,2.78,3.79
user7508@t-mobile.com,"Leilani R.",1.15,3.50,3.50
user9414@gmail.com,"Alejandro G.",1.73,2.57,3.48
user8738@gmail.com,"Julie W.",1.15,3.00,3.15
user6178@hotmail.com,"Ashley  K.",1.35,3.43,3.10
user6379@t-mobile.com,"Chasen   T.",1.35,3.29,3.10
user4739@gmail.com,"Lauren B.",1.35,2.57,3.10
user6860@verizon.net,"Michael E.",1.35,3.29,3.10
user6094@gmail.com,"Caroline J.",1.73,1.80,2.98
user4917@t-mobile.com,"Mackenzie  S.",1.73,3.00,2.98
user1777@yahoo.com,"Nakisa S.",0.96,3.00,2.96
user5135@t-mobile.com,"Jessica C.",1.15,3.43,2.90
user4980@gmail.com,"Jessica E.",1.15,3.14,2.90
user6604@yahoo.com,"Nelson M.",1.15,2.43,2.90
user9209@hotmail.com,"Randal  W.",1.15,3.00,2.90
user7650@verizon.net,"Robert S.",1.15,3.57,2.90
user2311@t-mobile.com,"Justin K.",1.35,3.83,2.85
user7812@hotmail.com,"Kailyn G.",1.35,3.33,2.85
user9029@t-mobile.com,"Melissa C.",1.35,4.00,2.85
user3971@hotmail.com,"Michelle B.",1.35,2.83,2.85
user4669@t-mobile.com,"Jessica L.",1.35,2.80,2.80
user4691@hotmail.com,"Kathryn S.",1.54,3.00,2.79
user9227@t-mobile.com,"Pam L.",0.77,2.75,2.77
user4671@yahoo.com,"Meagan M.",0.96,3.29,2.71
user8635@verizon.net,"Paul S.",0.96,3.00,2.71
user9082@t-mobile.com,"Wendy J.",1.15,2.67,2.67
user1949@gmail.com,"Ashley H.",1.15,3.33,2.65
user2983@verizon.net,"Chanece W.",1.15,3.33,2.65
user2807@hotmail.com,"Chris K.",1.15,3.83,2.65
user1932@yahoo.com,"Julie X.",1.15,3.50,2.65
user7080@verizon.net,"Ricky E.",1.15,3.50,2.65
user1075@gmail.com,"Terence A.",1.15,3.50,2.65
user5555@gmail.com,"Julianna C.",1.35,2.80,2.60
user1211@yahoo.com,"Lyndsey B.",1.35,2.60,2.60
user3697@verizon.net,"Kathy D.",1.15,2.55,2.55
user2424@verizon.net,"Kristina M.",1.54,3.25,2.54
user1233@yahoo.com,"Huan H.",0.77,3.43,2.52
user9866@gmail.com,"Ilka A.",0.77,2.71,2.52
user6713@gmail.com,"Alex F.",0.96,2.50,2.46
user3337@verizon.net,"Alex S.",0.96,3.67,2.46
user2847@verizon.net,"Dawn M.",0.96,3.00,2.46
user5835@yahoo.com,"Heather T.",0.96,2.67,2.46
user7177@verizon.net,"Lisa D.",0.96,3.50,2.46
